_id,user_id,event_id,event_rating
645e8e02018909e1a1a74c72,1,16,2
645e8e02018909e1a1a74c67,1,5,2
645e8e02018909e1a1a74c73,1,17,2
645e8e02018909e1a1a74c99,1,55,5
645e8e02018909e1a1a74c6a,1,8,5
645e8e02018909e1a1a74ca3,2,4,5
645e8e02018909e1a1a74ca4,2,5,5
645e8e02018909e1a1a74cba,2,27,4
645e8e02018909e1a1a74cd4,2,53,4
645e8e02018909e1a1a74cde,3,2,2
645e8e02018909e1a1a74ce2,3,6,3
645e8e02018909e1a1a74c76,1,20,4
645e8e02018909e1a1a74cef,3,19,4
645e8e02018909e1a1a74d02,3,38,5
645e8e02018909e1a1a74c7c,1,26,2
645e8e02018909e1a1a74d15,3,57,4
645e8e02018909e1a1a74d35,4,28,4
645e8e02018909e1a1a74c93,1,49,1
645e8e02018909e1a1a74d39,4,32,5
645e8e02018909e1a1a74cc1,2,34,4
645e8e02018909e1a1a74cc7,2,40,3
645e8e02018909e1a1a74d54,4,59,1
645e8e02018909e1a1a74cc9,2,42,4
645e8e02018909e1a1a74d64,5,14,2
645e8e02018909e1a1a74cca,2,43,5
645e8e02018909e1a1a74d8c,5,54,3
645e8e02018909e1a1a74d95,6,2,4
645e8e02018909e1a1a74ce8,3,12,5
645e8e02018909e1a1a74cee,3,18,1
645e8e02018909e1a1a74d98,6,5,3
645e8e02018909e1a1a74da5,6,18,2
645e8e02018909e1a1a74d28,4,15,3
645e8e02018909e1a1a74d3f,4,38,3
645e8e02018909e1a1a74dbe,6,43,3
645e8e02018909e1a1a74d6a,5,20,1
645e8e02018909e1a1a74dda,7,10,5
645e8e02018909e1a1a74d91,5,59,1
645e8e02018909e1a1a74ddc,7,12,3
645e8e02018909e1a1a74d9d,6,10,5
645e8e02018909e1a1a74ddd,7,13,4
645e8e02018909e1a1a74dad,6,26,5
645e8e02018909e1a1a74dfe,7,46,2
645e8e02018909e1a1a74dc0,6,45,1
645e8e02018909e1a1a74e00,7,48,2
645e8e02018909e1a1a74e09,7,57,3
645e8e02018909e1a1a74dc2,6,47,3
645e8e02018909e1a1a74e34,8,39,3
645e8e02018909e1a1a74dc8,6,53,5
645e8e02018909e1a1a74dce,6,59,4
645e8e02018909e1a1a74e51,9,7,5
645e8e02018909e1a1a74dd2,7,2,2
645e8e02018909e1a1a74dea,7,26,1
645e8e02018909e1a1a74df8,7,40,3
645e8e02018909e1a1a74e04,7,52,5
645e8e02018909e1a1a74e10,8,3,3
645e8e02018909e1a1a74e23,8,22,5
645e8e02018909e1a1a74e3a,8,45,1
645e8e02018909e1a1a74c9a,1,56,2
645e8e02018909e1a1a74c87,1,37,1
645e8e02018909e1a1a74c9d,1,59,2
645e8e02018909e1a1a74cb4,2,21,5
645e8e02018909e1a1a74cb6,2,23,4
645e8e02018909e1a1a74cc4,2,37,1
645e8e02018909e1a1a74cdb,2,60,5
645e8e02018909e1a1a74d00,3,36,1
645e8e02018909e1a1a74d0f,3,51,4
645e8e02018909e1a1a74d1f,4,6,4
645e8e02018909e1a1a74d24,4,11,3
645e8e02018909e1a1a74d27,4,14,2
645e8e02018909e1a1a74d2b,4,18,1
645e8e02018909e1a1a74d2d,4,20,3
645e8e02018909e1a1a74d30,4,23,2
645e8e02018909e1a1a74d33,4,26,2
645e8e02018909e1a1a74d46,4,45,5
645e8e02018909e1a1a74d53,4,58,3
645e8e02018909e1a1a74d5b,5,5,1
645e8e02018909e1a1a74d67,5,17,3
645e8e02018909e1a1a74d68,5,18,5
645e8e02018909e1a1a74d7f,5,41,2
645e8e02018909e1a1a74dc1,6,46,3
645e8e02018909e1a1a74dcc,6,57,1
645e8e02018909e1a1a74e36,8,41,5
645e8e02018909e1a1a74e43,8,54,3
645e8e02018909e1a1a74e49,8,60,2
645e8e02018909e1a1a74e4e,9,4,5
645e8e02018909e1a1a74e4f,9,5,3
645e8e02018909e1a1a74e56,9,12,4
645e8e02018909e1a1a74ca8,2,9,3
645e8e02018909e1a1a74caf,2,16,1
645e8e02018909e1a1a74cb1,2,18,5
645e8e02018909e1a1a74ccd,2,46,5
645e8e02018909e1a1a74cce,2,47,3
645e8e02018909e1a1a74cd8,2,57,3
645e8e02018909e1a1a74ced,3,17,3
645e8e02018909e1a1a74cfe,3,34,3
645e8e02018909e1a1a74d01,3,37,5
645e8e02018909e1a1a74d14,3,56,5
645e8e02018909e1a1a74d1a,4,1,5
645e8e02018909e1a1a74d1b,4,2,2
645e8e02018909e1a1a74d22,4,9,5
645e8e02018909e1a1a74d2e,4,21,2
645e8e02018909e1a1a74d3e,4,37,1
645e8e02018909e1a1a74d4e,4,53,1
645e8e02018909e1a1a74d66,5,16,3
645e8e02018909e1a1a74d69,5,19,1
645e8e02018909e1a1a74d75,5,31,3
645e8e02018909e1a1a74d77,5,33,5
645e8e02018909e1a1a74d78,5,34,1
645e8e02018909e1a1a74d7c,5,38,2
645e8e02018909e1a1a74d8d,5,55,1
645e8e02018909e1a1a74d90,5,58,2
645e8e02018909e1a1a74d99,6,6,2
645e8e02018909e1a1a74d9e,6,11,4
