"_id,category,event_name,event_description,event_date,createdAt,user_id,comments,likes,location,event_id,username,datetime"
"645e8c21b8b5a64ad1391598,Arts and Culture,Rock Concert,Discover the works of the best artists in India,1640146464,1630544936.7402945,99,,,""Indian School of Business, Hyderabad, Telangana, India"",42,nancy30,"
"645e8c21b8b5a64ad139158d,Arts and Culture,Marathon,Discover the works of the best artists in India,1611050030,1642576908.5327566,98,,,""Canvas Laugh Club, Mumbai, Maharashtra, India"",25,pfuller,"
"645e8c21b8b5a64ad139159a,Sports and Fitness,DYP College festival,The event is about blockchain.,1649517801,1734551980.0,92,,,""DLF Emporio, New Delhi, Delhi, India"",7,john85,"
"645e8c21b8b5a64ad139159d,Entertainment,Tennis Championship,Explore the top colleges and universities in India,1660359591,1677496066.194777,99,,[],""India International Centre, New Delhi, Delhi, India"",41,caroline04,"
"6462811e2038ad7b1bb233dd,Arts and Culture,DYP College festival Sambhav,Connect with entrepreneurs and investors and learn about building successful startups,1635133668,1693199783.210299,99,[],,""Ramana Maharshi Ashram, Bengaluru, Karnataka, India"",67,mathischristopher,"
"645e8c21b8b5a64ad13915b6,Music,New event dyp,Explore the latest developments in AI and machine learning,1689943435,1697353081.0691524,99,,,""Taj Mahal Palace Hotel, Mumbai, Maharashtra, India"",19,heather12,"
"645e8c21b8b5a64ad1391591,Technology,Blockchain Summit,Watch some of the best football teams in the country compete,1643407874,1614394759.0,99,,""[{'user_id': 1, 'rating': 0}]"",""Bangalore Palace Grounds, Bengaluru, Karnataka, India"",62,latkins,"
"64630985c5f0d23bf8f177e9,Arts and Culture,Engineering Workshop,Experience an evening of classical music with live performances by top artists,1666305065,1623023011.9704676,97,,,""dypcoe,akurdi,pune,maharashtra"",49,michellefloyd,"
"645e8c21b8b5a64ad139157e,Sports,Art Exhibition,Taste a variety of local and international beers,1711622527,1625947921.940788,99,,,""Indira Gandhi Stadium, New Delhi, Delhi, India"",67,shelly12,"
"645e8c21b8b5a64ad139159b,Arts and Culture,Marathon,Join us for a full or half marathon through the city,1695390854,1634690799.8346,99,,,""NCPA, Mumbai, Maharashtra, India"",21,georgeherman,"
"6462e8d9e486ec4007c445a2,Sports,New event dyp,Laugh out loud with some of the best comedians in the industry,1711335629,1614394759.0,42,""[{'user_id': 1, 'comment': 'Excellent!'}]"",,""Bangalore Palace Grounds, Bengaluru, Karnataka, India"",24,tiffanyjohnson,"
"645e8c21b8b5a64ad1391587,Technology,Artificial Intelligence Summit,Taste the best street food from all over India,1696617992,1652301952.3254836,99,,""[{'user_id': 1, 'rating': 1}]"",""Indian School of Business, Hyderabad, Telangana, India"",42,georgeherman,"
"645e8c21b8b5a64ad1391593,Sports,Artificial Intelligence Summit,Explore the potential and challenges of artificial intelligence,1611050030,1614394759.0,99,,,""Kamani Auditorium, New Delhi, Delhi, India"",53,millermary,"
"645e8c21b8b5a64ad13915b4,Music,DYP College festival Sambhav,Taste a variety of local and international beers,1679113614,1665501733.916638,98,,[],""The Habitat, Mumbai, Maharashtra, India"",33,gregory85,"
"645e8c21b8b5a64ad1391589,Sports,Engineering Workshop,Learn about the latest developments in engineering and technology,1709358080,1630685578.567852,99,,,""IIT Delhi, New Delhi, Delhi, India"",60,susancarpenter,"
"6462f9a819457e6eb70bba80,blockchain,DYP College festival Sambhav,The new event organised by sambhav group of dypatil college of engineering pune. Join us today for more exciting games and food.,1669534448,1689004944.9925296,1,[],[],""dypcoe,akurdi,pune,maharashtra"",59,john85,1684177200.0"
"645e8c21b8b5a64ad13915b4,blockchain,Classical Music Concert,Bang your head to the beats of the biggest rock bands in the country,1632624010,1669356556.261497,96,,""[{'user_id': 1, 'rating': 0}]"",""Bangalore Palace Grounds, Bengaluru, Karnataka, India"",29,uwilliams,"
"645e8c21b8b5a64ad1391598,Festival,Football Tournament,Watch the best tennis players in the world battle it out for the title,1661439511,1680702053.5501156,99,,,""Pune,India"",67,susancarpenter,"
"645e8c21b8b5a64ad1391584,Networking,Artificial Intelligence Summit,the event is awesome,1611050030,1614394759.0,99,,,""IIT Delhi, New Delhi, Delhi, India"",55,latkins,"
"64630985c5f0d23bf8f177e9,Science and Technology,Street Food Festival,Learn about the latest developments in engineering and technology,1683737190,1636471859.0205066,94,,""[{'user_id': 1, 'rating': 1}]"",""IIT Bombay, Mumbai, Maharashtra, India"",50,sburke,"
"645e8c21b8b5a64ad1391597,Arts and Culture,Football Tournament,Discover the works of the best photographers in India,1733157518,1649413755.7111585,99,,,""Indira, , , "",63,nancy30,"
"645e8c21b8b5a64ad1391586,Music,Artificial Intelligence Conference,Explore the latest developments in AI and machine learning,1611050030,1663040468.5604734,98,,,""M. Chinnaswamy Stadium, Bengaluru, Karnataka, India"",38,nancy30,"
"645e8c21b8b5a64ad13915b4,Music,Blockchain Conference,Watch two of the best cricket teams in India compete,1611050030,1614394759.0,99,,,""dypcoe,pune,india"",30,danielnelson,"
"645e8c21b8b5a64ad13915a3,Health and Wellness,New event dyp,Taste the best street food from all over India,1611050030,1614394759.0,98,,,""Kamani Auditorium, New Delhi, Delhi, India"",40,susancarpenter,"
"645e8c21b8b5a64ad13915a1,Sports,Rock Concert,The new event organised by sambhav group of dypatil college of engineering pune. Join us today for more exciting games and food.,1657996473,1614394759.0,98,[],[],""DLF Emporio, New Delhi, Delhi, India"",27,elizabeththomas,"
"6462e8d9e486ec4007c445a2,Food and Drink,New event dyp,Watch the best tennis players in the world battle it out for the title,1672159092,1632378824.9051404,1,[],[],""Le Meridien, New Delhi, Delhi, India"",40,john85,"
"645e8c21b8b5a64ad1391586,Health and Wellness,Jazz Festival,Explore the potential and challenges of artificial intelligence,1611050030,1629757753.14943,99,,,""Ramana Maharshi Ashram, Bengaluru, Karnataka, India"",57,brandonrobinson,"
"6462e8d9e486ec4007c445a2,Education,DYP College festival Sambhav,Experience an evening of classical music with live performances by top artists,1705981435,1734551980.0,99,,,""Indira Gandhi Stadium, New Delhi, Delhi, India"",67,stephaniehenry,"
